"intGlCode","Fk_Services","varCompanyId","varTitle","txtContact","varWeb1","varWeb2","varWeb3","varEmailId","varContactName","txtCurrentStatus","FK_Status","intDisplayOrder","dtCreateDate","dtModifyDate","chrDelete","chrPublish","varMetaTitle","varMetaKeyword","varMetaDescription","PUserGlCode","varIpAddress"
"3","21,6","1","Caribbean Utilities Company, Ltd.","P. O. Box 38 GT
Grand Cayman
Cayman Islands","http://www.cuc-cayman.com",,,"sparky@cuc.ky","J. Lee Tinney, Vice President, Transmission & Distribution","<p>Transferred to #30</p>
","12","1","2014-12-03 14:20:36","2021-03-16 04:18:33","N","Y","Listing of Caribbean Utilities Company, Ltd. - OfReg, Cayman Islands","current status of licensing application, Cayman Islands application for licence, licensed ICT service and network","This is the application of Caribbean Utilities Company, Ltd. which is located at P. O. Box 38 GT
Grand Cayman
Cayman Islands","1","103.226.184.100"
"4","13,19,22,3,4,9,27","2","Foster Cayman, Ltd.","c/o C.S.Gill, Attorneys
P.O. Box 945
Grand Cayman",,,,"P-Gillaw@candw.ky","Paul Simon","<p>9 Dec 04</p>
","9","2","2014-12-03 15:17:11","2017-10-27 05:48:43","N","Y","Listing of Foster Cayman, Ltd. - OfReg, Cayman Islands","current status of licensing application, Cayman Islands application for licence, licensed ICT service and network","This is the application of Foster Cayman, Ltd. which is located at c/o C.S.Gill, Attorneys
P.O. Box 945
Grand Cayman","1","103.226.185.33"
"5","13,19,22,3,4,7,9","3","Wireless Ventures (Cayman Islands) Ltd.","(T/A AT&T Wireless Services)
P.O. Box 309 GT
Grand Cayman
Cayman Islands","http://www.attws.com",,,"Jim.wilson@attws.com","Jim Wilson",,"8","4","2014-12-04 09:32:10","2017-10-27 05:48:53","N","Y","Listing of Wireless Ventures (Cayman Islands) Ltd. - OfReg, Cayman Islands","current status of licensing application, Cayman Islands application for licence, licensed ICT service and network","This is the application of Wireless Ventures (Cayman Islands) Ltd. which is located at (T/A AT&T Wireless Services)
P.O. Box 309 GT
Grand Cayman
Cayman Islands","1","103.226.185.33"
"6","11,13,14,15,19,21,22,23,24,1,2,4,6,7,9,27","4","CaymanTel Ltd.","P. O. Box 1990 GT
Grand Cayman
Cayman Islands","http://www.twtcaribbean.com",,,"apisciotta@twtcaribbean.com","Aileen A. Pisciotta",,"11","3","2014-12-04 09:40:56","2017-10-27 05:49:10","N","Y","Listing of CaymanTel Ltd. - OfReg, Cayman Islands","current status of licensing application, Cayman Islands application for licence, licensed ICT service and network","This is the application of CaymanTel Ltd. which is located at P. O. Box 1990 GT
Grand Cayman
Cayman Islands","1","103.226.185.33"
"7","15,14","5","Cool Call/ Blue","P. O. Box 2040 GT
Grand Cayman
Cayman Islands",,,,"profiles@candw.ky","Stefan Baraud",,"17","5","2014-12-04 09:43:11","2021-03-16 04:29:25","N","Y","Listing of Cool Call/ Blue - OfReg, Cayman Islands","current status of licensing application, Cayman Islands application for licence, licensed ICT service and network","This is the application of Cool Call/ Blue which is located at P. O. Box 2040 GT
Grand Cayman
Cayman Islands","1","103.226.184.100"
"8","11,15,19,22,2,6,9,27","6","North Rock Communications Ltd. /New Venture Holdings Ltd","P. O. Box 10400 APO GT
Grand Cayman
Cayman Islands",,,,,"Erich Hetzel/Gregory Vasic","<p>2 Jul 2004</p>
","10","6","2014-12-04 09:47:48","2017-10-27 05:50:42","N","Y","Listing of North Rock Communications Ltd. /New Venture Holdings Ltd - OfReg, Cayman Islands","current status of licensing application, Cayman Islands application for licence, licensed ICT service and network","This is the application of North Rock Communications Ltd. /New Venture Holdings Ltd which is located at P. O. Box 10400 APO GT
Grand Cayman
Cayman Islands","1","103.226.185.33"
"9","15","7","Blue Bison Communications Limited","P. O. Box 11890 APO
Grand Cayman
Cayman Islands","http://www.bluebison.ky",,,"info@bluebison.ky","Alva Suckoo","<p>(19 August 2015)</p>
","10","7","2014-12-04 09:49:52","2017-10-27 05:50:57","N","Y","Listing of Blue Bison Communications Limited - OfReg, Cayman Islands","current status of licensing application, Cayman Islands application for licence, licensed ICT service and network","This is the application of Blue Bison Communications Limited which is located at P. O. Box 11890 APO
Grand Cayman
Cayman Islands","1","103.226.185.33"
"10","19,2,27","8","West Indian Electronic Technologies Ltd.","P. O. Box 10377 APO
Grand Cayman
Cayman Islands",,,,"henry@engineer.com","Herbert Huddleston","<p>(13 September 2007)</p>
","10","8","2014-12-04 09:51:14","2017-10-27 05:51:04","N","Y","Listing of West Indian Electronic Technologies Ltd. - OfReg, Cayman Islands","current status of licensing application, Cayman Islands application for licence, licensed ICT service and network","This is the application of West Indian Electronic Technologies Ltd. which is located at P. O. Box 10377 APO
Grand Cayman
Cayman Islands","1","103.226.185.33"
"11","11,13,14,19,1,4,5,8,9,27","9","Grand Tel Limited.","P. O. Box 2503 GT
Grand Cayman
Cayman Islands","http://www.fidelitycommunications.com",,,"johndavis@finet.com","John T Davis","<p>22 April 2004</p>
","9","9","2014-12-04 09:53:28","2017-10-27 05:51:09","N","Y","Listing of Grand Tel Limited. - OfReg, Cayman Islands","current status of licensing application, Cayman Islands application for licence, licensed ICT service and network","This is the application of Grand Tel Limited. which is located at P. O. Box 2503 GT
Grand Cayman
Cayman Islands","1","103.226.185.33"
"12","16,17","10","Cayman Television Service Ltd.","P. O. Box 3117 SMB
Grand Cayman
Cayman Islands","http://www.cts.com.ky",,,"bbodden@cts.com.ky","Robert Bodden","<p>included in Application #22</p>
","11","10","2014-12-04 09:55:23","2017-10-27 05:51:14","N","Y","Listing of Cayman Television Service Ltd. - OfReg, Cayman Islands","current status of licensing application, Cayman Islands application for licence, licensed ICT service and network","This is the application of Cayman Television Service Ltd. which is located at P. O. Box 3117 SMB
Grand Cayman
Cayman Islands","1","103.226.185.33"
