"intGlCode","Fk_Licence","FK_Licence_Type","varTitle","chrFileFlag","varFile","varFileUrl","intDisplayOrder","chrDelete","chrPublish","dtCreateDate","dtModifyDate","varIpAddress","PUserGlCode","varAdminReview"
"1","6","1","View Licence document","U","UnitedTelecomLicence_1417639337.pdf",NULL,"1","N","Y","2014-12-03 02:42:18","2014-12-03 02:42:18","27.54.170.98","1",NULL
"2","6","1","View Amendment #1 (Addition of Types 9 & 14 Services)","U","UNITELAmend1_1417639376.pdf",NULL,"2","N","Y","2014-12-03 02:42:56","2016-10-21 05:05:57","179.218.172.243","1",NULL
"3","6","1","View Amendment #2 (Allocation of 400MHz & 800MHz Spectrum)","U","Unitel_Amend2_1417639407.pdf",NULL,"3","N","Y","2014-12-03 02:43:27","2016-10-21 05:07:29","179.218.172.243","1",NULL
"4","6","1","View Amendment #3 (Surrender Type E2 Network)","U","Unitel_Amend3_1417639474.pdf",NULL,"4","N","Y","2014-12-03 02:44:34","2016-10-21 05:08:40","179.218.172.243","1",NULL
"5","6","1","View Amendment #4 (Allocation of 400MHz Spectrum)","U","Unitel_Amend4_1417639541.pdf",NULL,"5","N","Y","2014-12-03 02:45:41","2016-10-21 05:09:39","179.218.172.243","1",NULL
"6","6","1","View Amendment #5 (Amend Annex 2)","U","UniTel_Amend5_1417639558.pdf",NULL,"6","N","Y","2014-12-03 02:45:58","2016-10-21 05:10:32","179.218.172.243","1",NULL
"7","4","1","View Licence document","U","WestIndianLicence_1417639748.pdf",NULL,"1","N","Y","2014-12-03 02:49:08","2014-12-03 02:49:08","27.54.170.98","1",NULL
"8","4","1","View Amendment #1 (Addition of Type 14 Service)","U","WestIndianAmend1_1417639763.pdf",NULL,"2","N","Y","2014-12-03 02:49:23","2016-10-21 04:38:51","179.218.172.243","1",NULL
"9","3","1","View Licence document","U","ViewLicencedocument_1417640209.pdf",NULL,"4","N","Y","2014-12-03 02:56:49","2014-12-03 02:56:49","27.54.170.98","1",NULL
"10","3","1","View Amendment #1 (Additional 4 MHz of 900MHz Spectrum and 1 Additional NXX)","U","ViewAmendment1_1417640221.pdf",NULL,"5","N","Y","2014-12-03 02:57:01","2016-10-21 03:31:59","179.218.172.243","1",NULL
"11","3","1","View Amendment #2 (Additional 2 NXX's)","U","ViewAmendment2_1417640242.pdf",NULL,"6","N","Y","2014-12-03 02:57:22","2016-10-21 03:32:55","179.218.172.243","1",NULL
"12","3","1","View Amendment #3 (Additional 3 NXX's)","U","ViewAmendment3_1417640265.pdf",NULL,"7","N","Y","2014-12-03 02:57:45","2016-10-21 03:33:41","179.218.172.243","1",NULL
"13","3","1","View Amendment #4 (Amendment to Annex 1A - Fixed Wireless Roll Out Schedule)","U","ViewAmendment4_1417640275.pdf",NULL,"8","N","Y","2014-12-03 02:57:55","2016-10-21 03:35:25","179.218.172.243","1",NULL
"14","3","1","View Amendment #5 (Additional NXX)","U","ViewAmendment5_1417640285.pdf",NULL,"9","N","Y","2014-12-03 02:58:05","2016-10-21 03:36:24","179.218.172.243","1",NULL
"15","3","1","View Amendment #6 (Surrender 1900MHz Spectrum)","U","ViewAmendment6_1417640291.pdf",NULL,"10","N","Y","2014-12-03 02:58:11","2016-10-21 03:40:45","179.218.172.243","1",NULL
"16","3","1","View Amendment #7 (Additional 10 NXX's and Allocation of 850MHz, 1900MHz and 7GHz Spectrum)","U","ViewAmendment7_1417640299.pdf",NULL,"11","N","Y","2014-12-03 02:58:19","2016-10-21 03:45:41","179.218.172.243","1",NULL
"17","3","1","View Amendment #8 (Additional NXX and Surrender 1 NXX)","U","ViewAmendment8_1417640307.pdf",NULL,"12","N","Y","2014-12-03 02:58:27","2016-10-21 03:47:51","179.218.172.243","1",NULL
"18","3","1","View Amendment #9 (Allocation of 2GHz Spectrum)","U","ViewAmendment9_1417640315.pdf",NULL,"13","N","Y","2014-12-03 02:58:35","2016-10-21 03:50:30","179.218.172.243","1",NULL
"19","3","1","View Amendment #10 (Allocation of 10GHz Spectrum)","U","ViewAmendment10_1417640323.pdf",NULL,"14","N","Y","2014-12-03 02:58:43","2016-10-21 03:51:55","179.218.172.243","1",NULL
"20","3","1","View Amendment #11 (Additional NXX)","U","ViewAmendment11_1417640332.pdf",NULL,"15","N","Y","2014-12-03 02:58:52","2016-10-21 03:52:58","179.218.172.243","1",NULL
"21","3","1","View Amendment #12 (Additional NXX)","U","ViewAmendment12_1417640338.pdf",NULL,"16","N","Y","2014-12-03 02:58:58","2016-10-21 03:54:11","179.218.172.243","1",NULL
"22","3","1","View Amendment #13 (Allocation of 8GHz Spectrum - Temporary)","U","ViewAmendment13_1417640365.pdf",NULL,"17","N","Y","2014-12-03 02:59:25","2016-10-21 03:56:05","179.218.172.243","1",NULL
"23","3","1","View Amendment #14 (Allocation of 3.8GHz and 6GHz Spectrum - Defined)","U","ViewAmendment14_1417640373.pdf",NULL,"18","N","Y","2014-12-03 02:59:33","2016-10-21 03:58:44","179.218.172.243","1",NULL
"24","3","1","View Amendment #15 (Allocation of 8GHz Spectrum (Temporary) and 1900MHz and 2100MHz Spectrum)","U","ViewAmendment15_1417640380.pdf",NULL,"19","N","Y","2014-12-03 02:59:40","2016-10-21 04:18:54","179.218.172.243","1",NULL
"25","3","1","View Amendment #16 (Amended Annex 1 to reflect updated s.23(2) Notice)","U","ViewAmendment16_1417640389.pdf",NULL,"20","N","Y","2014-12-03 02:59:49","2016-10-21 04:02:52","179.218.172.243","1",NULL
"26","3","1","View Amendment #17 (Replace 1900MHz & 2100MHz with different 1900MHz & 2100MHz Spectrum)","U","ViewAmendment17_1417640397.pdf",NULL,"21","N","Y","2014-12-03 02:59:57","2016-10-21 04:06:57","179.218.172.243","1",NULL
"27","3","1","View Amendment #18 (Addition of Type D1 Network)","U","ViewAmendment18_1417640405.pdf",NULL,"22","N","Y","2014-12-03 03:00:05","2016-10-21 04:11:24","179.218.172.243","1",NULL
"28","3","1","View Amendment #19 (Addition of Type F Network and Types 6, 7 & 15 Services)","U","ViewAmendment19_1417640414.pdf",NULL,"23","N","Y","2014-12-03 03:00:14","2016-10-21 04:12:57","179.218.172.243","1",NULL
"29","3","1","View Amendment #20 (Addition of Fibre Roll Out Schedule)","U","ViewAmendment20_1417640423.pdf",NULL,"24","N","Y","2014-12-03 03:00:23","2016-10-21 04:14:24","179.218.172.243","1",NULL
"30","3","1","View Amendment #21 (Allocation of 2300MHz, 12GHz and 13GHz Spectrum)","U","ViewAmendment21_1417640432.pdf",NULL,"25","N","Y","2014-12-03 03:00:32","2016-10-21 04:16:03","179.218.172.243","1",NULL
"31","3","1","View Amendment #22 (Allocation of 1700MHz & 1800MHz Spectrum, Roll Out Schedule for this Network)","U","ViewAmendment22_1417640442.pdf",NULL,"26","N","Y","2014-12-03 03:00:42","2016-10-21 04:24:06","179.218.172.243","1",NULL
"32","3","1","View Amendment #23 (Allocation of 700MHz Spectrum, Roll Out Schedule to this Network)","U","ViewAmendment23_1417640470.pdf",NULL,"27","N","Y","2014-12-03 03:01:10","2016-10-21 04:24:23","179.218.172.243","1",NULL
"33","3","1","View Amendment #24 (Allocation of 800MHz, 10GHz, 11GHz, 12GHz & 13GHz Spectrum)","U","ViewAmendment24_1417640479.pdf",NULL,"28","N","Y","2014-12-03 03:01:19","2016-10-21 04:26:01","179.218.172.243","1",NULL
"34","3","1","View Amendment #25 (Amendment of local content for Type 6 Service)","U","ViewAmendment25_1417640487.pdf",NULL,"29","N","Y","2014-12-03 03:01:27","2016-10-21 04:27:37","179.218.172.243","1",NULL
"35","3","1","View Amendment #26 (Allocation of 5800MHz Spectrum)","U","ViewAmendment26_1417640495.pdf",NULL,"30","N","Y","2014-12-03 03:01:35","2016-10-21 04:28:35","179.218.172.243","1",NULL
