"intGlCode","varCompanyId","varTitle","txtContact","varWeb1","varWeb2","varWeb3","varEmailId","varContactName","Fk_Services","dtIssueDate","chrExpiry","dtRenewalDate","varIssueNote","varRenewalNote","FK_Status","intDisplayOrder","dtCreateDate","dtModifyDate","chrDelete","chrPublish","varMetaTitle","varMetaKeyword","varMetaDescription","PUserGlCode","varIpAddress"
"1","7","North Rock Communications (Cayman) Ltd","PO Box 10400
Grand Cayman KY1-1004",,,,"erich@northrock.bm","Eric Hetzel, Director","11,15,19,22,2,6,9,27","2003-10-17 00:00:00","N","0000-00-00 00:00:00","Surrendered 2 July 2004",,"6","8","2014-12-03 14:13:39","2017-10-27 06:09:02","N","Y","Listing of North Rock Communications (Cayman) Ltd - OfReg, Cayman Islands","current status of licence registration, Cayman Islands registration of licence, licensed ICT service and network","This is the licence registration of North Rock Communications (Cayman) Ltd which is located at PO Box 10400
Grand Cayman KY1-1004","1","103.226.185.33"
"2","4","GrandTel Limited","PO Box 2503
Grand Cayman KY1-1104",,,,"jtdavis@fidnet.com","John Davis, President","11,13,14,19,1,4,5,8,9","2003-10-17 00:00:00","N","0000-00-00 00:00:00","Revoked 22 April 2004",,"5","5","2014-12-03 14:28:13","2017-10-27 06:08:54","N","Y","Listing of GrandTel Limited - OfReg, Cayman Islands","current status of licence registration, Cayman Islands registration of licence, licensed ICT service and network","This is the licence registration of GrandTel Limited which is located at PO Box 2503
Grand Cayman KY1-1104","1","103.226.185.33"
"3","5","Digicel Cayman Limited","Cayman Technology Center
115 Printer Way
George Town
PO Box 700
Grand Cayman KY1-1107","https://www.digicelgroup.com/ky/en/mobile.html",,,"diane.mcauliffe@digicelgroup.com","Diane McAuliffe, Chief Executive Officer","11,21,19,17,16,15,14,13,22,23,24,25,26,27,9,6,2","2003-10-17 00:00:00","N","2021-01-29 15:05:51",,,"1","6","2014-12-03 14:30:43","2021-01-29 15:05:51","N","Y","Listing of Digicel Cayman Limited - OfReg, Cayman Islands","current status of licence registration, Cayman Islands registration of licence, licensed ICT service and network","This is the licence registration of Digicel Cayman Limited which is located at Cayman Technology Center
115 Printer Way
George Town
PO Box 700
Grand Cayman KY1-1107","1","92.246.84.133"
"4","6","West Indian Electronic Technologies Ltd","PO Box 10377
Grand Cayman KY1-1004",,,,"henry@engineer.com","Herbert Huddleston, Managing Director","19,2","2003-10-17 00:00:00","N","0000-00-00 00:00:00","Surrendered 13 September 2007",,"6","7","2014-12-03 14:33:27","2017-10-27 06:08:45","N","Y","Listing of West Indian Electronic Technologies Ltd - OfReg, Cayman Islands","current status of licence registration, Cayman Islands registration of licence, licensed ICT service and network","This is the licence registration of West Indian Electronic Technologies Ltd which is located at PO Box 10377
Grand Cayman KY1-1004","1","103.226.185.33"
"5","1","Cable and Wireless (C.I.) Ltd (T/A Flow)","19 Eastern Avenue
PO Box 293
Grand Cayman KY1-1104",,,,"daniel.tathum@cwc.com","Daniel Tathum","11,13,14,15,16,17,19,21,22,23,24,25,1,2,6,7,9,26,27","2003-07-10 00:00:00","N","0000-00-00 00:00:00",,,"1","2","2014-12-03 14:33:28","2018-06-18 17:40:36","N","Y","Listing of Cable and Wireless (C.I.) Ltd (T/A Flow) - OfReg, Cayman Islands","current status of licence registration, Cayman Islands registration of licence, licensed ICT service and network","This is the licence registration of Cable and Wireless (C.I.) Ltd (T/A Flow) which is located at 19 Eastern Avenue
PO Box 293
Grand Cayman KY1-1104","1","208.168.231.38"
"6","10","United Telecommunication Services Ltd","(A subsidiary of AVCOM Ltd)
#21 Breezy Way
PO Box 10217
Grand Cayman KY1-1002",,,,"avcomgcm@candw.ky","Errol Kellyman, Managing Director","19,21,24,2,9,27","2003-10-29 00:00:00","N","0000-00-00 00:00:00",,,"1","11","2014-12-03 14:39:24","2017-03-21 12:50:25","N","Y","United Telecommunication Services Ltd","United Telecommunication Services Ltd","United Telecommunication Services Ltd","1","104.194.0.106"
"7","8","Foster Cayman Ltd.","c/o C.S Gill, Attorneys
4th Foor Genesis Building
PO Box 945
Grand Cayman KY1-1102",,,,"p_gillaw@candw.ky","Paul Simon, Lawyer","13,19,22,3,4,9,27","2003-10-29 00:00:00","N","0000-00-00 00:00:00","Revoked 9 December 2004",,"5","9","2014-12-03 15:29:47","2017-10-27 06:09:06","N","Y","Listing of Foster Cayman Ltd. - OfReg, Cayman Islands","current status of licence registration, Cayman Islands registration of licence, licensed ICT service and network","This is the licence registration of Foster Cayman Ltd. which is located at c/o C.S Gill, Attorneys
4th Foor Genesis Building
PO Box 945
Grand Cayman KY1-1102","1","103.226.185.33"
"8","9","TeleCayman Limited (T/A Logic)","#45 Eclipse Way
PO Box 31112
Grand Cayman KY1-1205",,,,"rmcnabb@logic.ky","Rob McNabb, Chief Executive Officer","11,14,15,19,21,22,1,2,6,7,8,9,27","2003-10-29 00:00:00","N","0000-00-00 00:00:00","Consolidated with #14",,"14","10","2014-12-03 15:33:09","2017-10-27 06:09:10","N","Y","Listing of TeleCayman Limited (T/A Logic) - OfReg, Cayman Islands","current status of licence registration, Cayman Islands registration of licence, licensed ICT service and network","This is the licence registration of TeleCayman Limited (T/A Logic) which is located at #45 Eclipse Way
PO Box 31112
Grand Cayman KY1-1205","1","103.226.185.33"
"9","11","Island Electronics","90B Godfrey Nixon Way
PO Box 881
Grand Cayman KY1-1103",,,,"ghunter@ielgroup.com","George Hunter, President & Owner","21,27","2003-11-20 00:00:00","N","0000-00-00 00:00:00",,,"1","12","2014-12-03 15:46:16","2017-10-27 06:10:00","N","Y","Listing of Island Electronics - OfReg, Cayman Islands","current status of licence registration, Cayman Islands registration of licence, licensed ICT service and network","This is the licence registration of Island Electronics which is located at 90B Godfrey Nixon Way
PO Box 881
Grand Cayman KY1-1103","1","103.226.185.33"
"10","R4","Christian Communications Association","(Heaven 97)
Godfrey Nixon Way
PO Box 31481
Grand Cayman KY1-1206",,,,"stephen.faucette@heaven97.com","Stephen Faucette, Director","18,10,27","2003-12-04 00:00:00","Y","2013-12-04 00:00:00",,"(Licence now expired)","7","33","2014-12-03 15:54:58","2017-10-27 06:19:16","N","Y","Listing of Christian Communications Association - OfReg, Cayman Islands","current status of licence registration, Cayman Islands registration of licence, licensed ICT service and network","This is the licence registration of Christian Communications Association which is located at (Heaven 97)
Godfrey Nixon Way
PO Box 31481
Grand Cayman KY1-1206","1","103.226.185.33"
