"intGlCode","varLink","varCode","varName","fkServiceCategory","txtDescription","txtComment","intFee","varNoteTitle","chrDisplayServices","intDisplayOrder","dtCreateDate","dtModifyDate","chrDelete","chrPublish","PUserGlCode","varIpAddress"
"1","http://www","A","Fixed wireline","1",,"<p>A wireline network providing access to ICT Service(s) to residential and/or business Subscribers.</p>
","3,500.00",,"Y","5","2014-12-02 19:03:28","2014-12-08 14:56:28","N","Y","1","27.54.170.98"
"2","http://www.","B","Fixed wireless","1",,"<p>A wireless network (other than Mobile) providing access to ICT Service(s) to residential and/or business Subscribers.</p>
","3,500.00",,"Y","6","2014-12-02 19:04:25","2014-12-04 16:35:23","N","Y","1","27.54.170.98"
"3","#note1","C1","Mobile (cellular) 2G","1",,"<p>Mobile networks usually referred to as &quot;second generation&quot; or &quot;2G&quot; and normally operating in the 800, 900, 1800 or 1900 MHz frequency bands.</p>
","3,500.00","(See Note 1)","Y","7","2014-12-02 19:06:00","2014-12-08 14:57:01","N","Y","1","27.54.170.98"
"4","#note1","C2","Mobile (cellular) 2.5G","1",,"<p>Mobile networks usually referred to as &quot;two and a half generation&quot; or &quot;2.5G&quot; and normally operating in the 800, 900, 1800 or 1900 MHz frequency bands.</p>
","3,500.00","(See Note 1)","Y","8","2014-12-02 19:06:49","2014-12-04 16:35:59","N","Y","1","27.54.170.98"
"5","#note1","C3","Mobile (cellular) 3G","1",,"<p>Mobile networks usually referred to as &quot;third generation&quot; or &quot;3G&quot; and normally operating in the 1800 to 2200 MHz frequency bands.</p>
","3,500.00","(See Note 1)","Y","9","2014-12-02 19:08:30","2014-12-04 16:36:24","N","Y","1","27.54.170.98"
"6","http://www.","D1","Fibre optic cable - Domestic","1",,"<p>Whether &quot;lit&quot; or &quot;unlit&quot;.</p>
","1,000.00",,"Y","10","2014-12-02 19:08:59","2014-12-04 16:36:42","N","Y","1","27.54.170.98"
"7","http://www.","D2","Fibre optic cable - International","1",,"<p>Whether &quot;lit&quot; or &quot;unlit&quot;.</p>
","1,500.00",,"Y","11","2014-12-02 19:09:40","2014-12-04 16:39:35","N","Y","1","27.54.170.98"
"8","http://www.","E1","Satellite (incl VSAT) - Domestic","1",,,"1,500.00",,"Y","12","2014-12-02 19:10:13","2014-12-05 18:51:53","N","Y","1","27.54.170.98"
"9","http://www.","E2","Satellite (incl VSAT) - International","1",,,"2,500.00",,"Y","13","2014-12-02 19:10:43","2017-08-12 02:36:07","N","Y","1","27.54.170.98"
"10","http://www.","F","Broadcast Network","1",,,"3,500.00",,"Y","14","2014-12-02 19:11:05","2014-12-08 15:00:17","N","Y","1","27.54.170.98"
"11","http://www.","1","Fixed Telephony","2",,,"3,500.00",,"Y","6","2014-12-02 19:13:54","2014-12-04 16:41:23","N","Y","1","27.54.170.98"
"12","#note2","2","Fall-back International Voice and Data Communications","2",,"<p>An applicant for a Type2 Licence must already hold, or must apply simultaneously for, a Type E2 (International Satellite) Network Licence.</p>

<p><a href=""#note2"">(See Note2)</a></p>
","1,500.00",,"Y","7","2014-12-02 19:15:00","2014-12-04 16:41:44","N","Y","1","27.54.170.98"
"13","http://www.","3","Mobile Telephony","2",,,"3,500.00",,"Y","8","2014-12-02 19:17:11","2014-12-04 16:42:07","N","Y","1","27.54.170.98"
