"intGlCode","varTitle","fk_PublicCategory","StartDate","varAuthor","varPdfFile","varFileUrl","chrFileFlag","intNoOfDownload","varShortDescription","intDisplayOrder","chrDelete","chrPublish","dtCreateDate","dtModifyDate","PUserGlCode","varIpAddress"
"1","Reply comments","1","2007-12-21","Digicel","2007_12_21_Digicel_reply_comments_1417441685.pdf",NULL,"U","0",,"422","N","Y","2014-12-01 07:18:05","2014-12-01 07:18:05","1","192.168.1.139"
"2","Reply comments","1","2007-12-21","C&W","2007_12_21_CW_reply_comments_1417441732.pdf",NULL,"U","0",,"433","N","Y","2014-12-01 07:18:52","2014-12-01 07:18:52","1","192.168.1.139"
"3","Final comments","1","2007-12-07","Digicel","2007_12_07_Digicel_Final_Comments_1417441775.pdf",NULL,"U","0",,"432","N","Y","2014-12-01 07:19:35","2014-12-01 07:19:35","1","192.168.1.139"
"4","Comments on approval of extension request","1","2007-12-05","C&W","2007_12_05_CW_commentsonICTAapprovalofDigicelsextensionrequest_1417441807.pdf",NULL,"U","0",,"431","N","Y","2014-12-01 07:20:07","2014-12-01 07:20:07","1","192.168.1.139"
"5","Response to extension request","1","2007-12-04","C&W","2007_12_04_CWResponsetoDigicels03Dec07extensionrequestinCD2005-1_1417441848.pdf",NULL,"U","0",,"430","N","Y","2014-12-01 07:20:48","2014-12-01 07:20:48","1","192.168.1.139"
"6","Approval of extension request","1","2007-12-04","ICTA","2007_12_04_ICTA_approves_Digicel_extension_1417441881.pdf",NULL,"U","0",,"429","N","Y","2014-12-01 07:21:21","2014-12-01 07:21:21","1","192.168.1.139"
"7","Extension request","1","2007-12-03","Digicel","2007_12_03_Digicel_Extensionrequest_1417441911.pdf",NULL,"U","0",,"428","N","Y","2014-12-01 07:21:51","2014-12-01 07:21:51","1","192.168.1.139"
"8","Final comments","1","2007-11-30","C&W","2007_11_30_CWCommentsonFLLRICCostingManualCD2005-1_1417441943.pdf",NULL,"U","0",,"427","N","Y","2014-12-01 07:22:23","2014-12-01 08:37:38","1","192.168.1.139"
"9","Revised interrogatory responses","1","2007-11-16","C&W","2007_11_16_CW_3rdRoundInterrogResponses-DisclosureDirective_1417446489.pdf",NULL,"U","0",,"426","N","Y","2014-12-01 08:38:09","2014-12-01 08:38:09","1","192.168.1.139"
"10","Disclosure request determination","1","2007-11-08","ICTA","2007_11_08_ICTA_re_Digicel_disclosure_request_1417446522.pdf",NULL,"U","0",,"425","N","Y","2014-12-01 08:38:42","2014-12-01 08:38:42","1","192.168.1.139"
"11","Response to disclosure request","1","2007-10-26","C&W","2007_10_26_CW_responsetoDigicel2ndDislcosureRequest_1417446878.pdf",NULL,"U","0",,"424","N","Y","2014-12-01 08:44:38","2014-12-01 08:44:38","1","192.168.1.139"
"12","Response to ICTA inquiry","1","2007-10-19","C&W","2007_10_19_CW_to_ICTA_re_further_process_1417446915.pdf",NULL,"U","0",,"423","N","Y","2014-12-01 08:45:15","2014-12-01 08:45:15","1","192.168.1.139"
"14","Inquiry regarding further process request","1","2007-10-18","ICTA","2007_10_18_ICTA_to_CW_re_further_process_1417447040.pdf",NULL,"U","0",,"434","N","Y","2014-12-01 08:47:20","2014-12-01 08:47:20","1","192.168.1.139"
